collected_at_utc,travel_date,origin,dest,airline,flight_no,dep_time,arr_time,stops,duration,price,currency
2025-08-18T06:54:52+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T07:13:02+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T07:34:50+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T07:48:15+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T07:57:45+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T08:34:49+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T08:56:30+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
