collected_at_utc,travel_date,origin,dest,airline,flight_no,dep_time,arr_time,stops,duration,price,currency
2025-08-17T09:55:04+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T10:20:23+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T10:20:23+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T10:40:38+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T10:40:38+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T10:51:49+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T10:51:49+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T11:10:34+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T11:10:34+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T11:27:06+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T11:27:06+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T11:40:13+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T11:40:13+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T11:51:31+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T11:51:31+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T12:22:35+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T12:22:35+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T13:03:32+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T13:03:32+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
2025-08-17T13:35:45+00:00,2025-09-16,ICN,NRT,7C,7C1107,2025-09-16T16:10:00,2025-09-16T18:30:00,0,PT2H20M,138200.0,KRW
2025-08-17T13:35:45+00:00,2025-09-16,ICN,NRT,TW,TW241,2025-09-16T08:35:00,2025-09-16T11:05:00,0,PT2H30M,90400.0,KRW
