collected_at_utc,travel_date,origin,dest,airline,flight_no,dep_time,arr_time,stops,duration,price,currency
2025-08-18T06:54:52+00:00,2025-08-25,ICN,NRT,YP,YP731,2025-08-25T08:50:00,2025-08-25T11:20:00,0,PT2H30M,284000.0,KRW
2025-08-18T07:13:02+00:00,2025-08-25,ICN,NRT,YP,YP731,2025-08-25T08:50:00,2025-08-25T11:20:00,0,PT2H30M,284000.0,KRW
2025-08-18T07:34:50+00:00,2025-08-25,ICN,NRT,YP,YP731,2025-08-25T08:50:00,2025-08-25T11:20:00,0,PT2H30M,284000.0,KRW
2025-08-18T07:48:15+00:00,2025-08-25,ICN,NRT,YP,YP731,2025-08-25T08:50:00,2025-08-25T11:20:00,0,PT2H30M,284000.0,KRW
